ID0[0] PRI_INPUT (3086,786)
ID1[1] PRI_INPUT (3086,1048)
ID2[2] PRI_INPUT (810,0)
ID3[3] PRI_INPUT (1458,0)
ID4[4] PRI_INPUT (2754,0)
ID5[5] PRI_INPUT (3086,131)
ID6[6] PRI_INPUT (2430,0)
ID7[7] PRI_INPUT (3086,1179)
ID8[8] PRI_INPUT (972,0)
ID9[9] PRI_INPUT (3086,1703)
ID10[10] PRI_INPUT (0,0)
ID11[11] PRI_INPUT (486,0)
ID12[12] PRI_INPUT (3086,1834)
ID13[13] PRI_INPUT (648,0)
ID14[14] PRI_INPUT (1944,0)
ID15[15] PRI_INPUT (324,2500)
ID16[16] PRI_INPUT (2916,0)
ID17[17] PRI_INPUT (3086,1572)
ID18[18] PRI_INPUT (3086,524)
ID19[19] PRI_INPUT (1782,0)
ID20[20] PRI_INPUT (2592,0)
ID21[21] PRI_INPUT (3086,655)
ID22[22] PRI_INPUT (324,0)
ID23[23] PRI_INPUT (3086,2096)
ID24[24] PRI_INPUT (3086,2358)
ID25[25] PRI_INPUT (3086,2227)
ID26[26] PRI_INPUT (1134,0)
ID27[27] PRI_INPUT (1620,0)
ID28[28] PRI_INPUT (162,2500)
ID29[29] PRI_INPUT (3086,262)
ID30[30] PRI_INPUT (3086,1441)
ID31[31] PRI_INPUT (0,2500)
IC0[32] PRI_INPUT (3086,0)
IC1[33] PRI_INPUT (3086,393)
IC2[34] PRI_INPUT (3086,1965)
IC3[35] PRI_INPUT (3086,917)
IC4[36] PRI_INPUT (2106,0)
IC5[37] PRI_INPUT (162,0)
IC6[38] PRI_INPUT (1296,0)
IC7[39] PRI_INPUT (3086,1310)
R[40] PRI_INPUT (2268,0)
n74 nota0 (2758,800)~0ns  ID0[0]{342}~6.12282e-10ns 
n75 na2a0 (2851,1300)~1.50553e-09ns  Buffer_R[40]_3_n75{376}~1.04027e-09ns  Buffer_IC0[32]_2_n75{383}~1.05196e-09ns 
n76 nota0 (2433,1600)~0ns  Buffer_n75_0_n76{359}~1.01177e-09ns 
n77 nota0 (313,1800)~0ns  Buffer_ID19[19]_7_n77{363}~1.01849e-09ns 
n78 na2a0 (379,1600)~1.50553e-09ns  n77{266}~8.53882e-10ns  Buffer_ID16[16]_9_n78{376}~1.04027e-09ns 
n79 nota0 (833,1200)~0ns  Buffer_ID16[16]_7_n79{364}~1.02017e-09ns 
n80 na2a0 (470,1500)~1.50553e-09ns  Buffer_ID19[19]_6_n80{351}~9.98323e-10ns  Buffer_n79_0_n80{331}~9.64587e-10ns 
n81 na2a0 (379,1500)~1.50553e-09ns  n80{91}~5.51122e-10ns  n78{100}~5.66668e-10ns 
n82 nota0 (223,800)~0ns  Buffer_ID17[17]_8_n82{363}~1.01849e-09ns 
n83 no2a0 (170,900)~1.50553e-09ns  Buffer_ID18[18]_7_n83{365}~1.02184e-09ns  n82{153}~6.58554e-10ns 
