GAT1[0] PRI_INPUT (4469,423)
GAT4[1] PRI_INPUT (2552,0)
GAT11[2] PRI_INPUT (4469,3102)
GAT14[3] PRI_INPUT (4469,611)
GAT17[4] PRI_INPUT (4469,2350)
GAT20[5] PRI_INPUT (4469,893)
GAT23[6] PRI_INPUT (928,0)
GAT24[7] PRI_INPUT (2204,0)
GAT25[8] PRI_INPUT (1856,0)
GAT26[9] PRI_INPUT (4002,0)
GAT27[10] PRI_INPUT (4469,2538)
GAT31[11] PRI_INPUT (4469,1504)
GAT34[12] PRI_INPUT (1276,3600)
GAT37[13] PRI_INPUT (3712,0)
GAT40[14] PRI_INPUT (4469,3478)
GAT43[15] PRI_INPUT (2784,0)
GAT46[16] PRI_INPUT (406,3600)
GAT49[17] PRI_INPUT (4469,235)
GAT52[18] PRI_INPUT (1218,0)
GAT53[19] PRI_INPUT (3422,0)
GAT54[20] PRI_INPUT (2494,0)
GAT61[21] PRI_INPUT (2842,0)
GAT64[22] PRI_INPUT (2320,0)
GAT67[23] PRI_INPUT (4469,3431)
GAT70[24] PRI_INPUT (174,3600)
GAT73[25] PRI_INPUT (580,3600)
GAT76[26] PRI_INPUT (4469,1128)
GAT79[27] PRI_INPUT (986,0)
GAT80[28] PRI_INPUT (2378,0)
GAT81[29] PRI_INPUT (4469,329)
GAT82[30] PRI_INPUT (3248,0)
GAT83[31] PRI_INPUT (406,0)
GAT86[32] PRI_INPUT (4469,1598)
GAT87[33] PRI_INPUT (0,0)
GAT88[34] PRI_INPUT (3306,0)
GAT91[35] PRI_INPUT (1160,0)
GAT94[36] PRI_INPUT (116,3600)
GAT97[37] PRI_INPUT (4469,3243)
GAT100[38] PRI_INPUT (2668,0)
GAT103[39] PRI_INPUT (1102,0)
GAT106[40] PRI_INPUT (232,0)
GAT109[41] PRI_INPUT (4469,2162)
GAT112[42] PRI_INPUT (1624,0)
GAT113[43] PRI_INPUT (1392,3600)
GAT114[44] PRI_INPUT (4469,2115)
GAT115[45] PRI_INPUT (58,0)
GAT116[46] PRI_INPUT (4469,2679)
GAT117[47] PRI_INPUT (2958,0)
GAT118[48] PRI_INPUT (4469,658)
GAT119[49] PRI_INPUT (4469,3384)
GAT120[50] PRI_INPUT (812,0)
GAT121[51] PRI_INPUT (1682,0)
GAT122[52] PRI_INPUT (4469,1457)
GAT123[53] PRI_INPUT (4469,2726)
GAT126[54] PRI_INPUT (3132,0)
GAT127[55] PRI_INPUT (986,3600)
GAT128[56] PRI_INPUT (3190,0)
GAT129[57] PRI_INPUT (2436,0)
GAT130[58] PRI_INPUT (4469,2209)
GAT131[59] PRI_INPUT (4469,940)
GAT132[60] PRI_INPUT (4469,47)
GAT135[61] PRI_INPUT (4469,564)
GAT136[62] PRI_INPUT (1508,0)
GAT137[63] PRI_INPUT (3828,0)
GAT140[64] PRI_INPUT (4469,1692)
GAT141[65] PRI_INPUT (4469,2397)
GAT145[66] PRI_INPUT (4469,1175)
GAT146[67] PRI_INPUT (4469,2773)
GAT149[68] PRI_INPUT (3074,0)
GAT152[69] PRI_INPUT (696,3600)
GAT155[70] PRI_INPUT (4469,2632)
