1GAT[0] PRI_INPUT (2109,1701)
8GAT[1] PRI_INPUT (1615,0)
13GAT[2] PRI_INPUT (855,0)
17GAT[3] PRI_INPUT (2109,891)
26GAT[4] PRI_INPUT (1235,0)
29GAT[5] PRI_INPUT (2109,0)
36GAT[6] PRI_INPUT (2109,1377)
42GAT[7] PRI_INPUT (2109,243)
51GAT[8] PRI_INPUT (95,1800)
55GAT[9] PRI_INPUT (855,1800)
59GAT[10] PRI_INPUT (475,1800)
68GAT[11] PRI_INPUT (2109,162)
72GAT[12] PRI_INPUT (950,1800)
73GAT[13] PRI_INPUT (1425,1800)
74GAT[14] PRI_INPUT (1330,0)
75GAT[15] PRI_INPUT (2109,405)
80GAT[16] PRI_INPUT (2109,1053)
85GAT[17] PRI_INPUT (1425,0)
86GAT[18] PRI_INPUT (190,0)
87GAT[19] PRI_INPUT (2109,324)
88GAT[20] PRI_INPUT (760,0)
89GAT[21] PRI_INPUT (1330,1800)
90GAT[22] PRI_INPUT (2109,729)
91GAT[23] PRI_INPUT (1140,1800)
96GAT[24] PRI_INPUT (380,1800)
101GAT[25] PRI_INPUT (190,1800)
106GAT[26] PRI_INPUT (285,0)
111GAT[27] PRI_INPUT (1140,0)
116GAT[28] PRI_INPUT (285,1800)
121GAT[29] PRI_INPUT (2109,1296)
126GAT[30] PRI_INPUT (760,1800)
130GAT[31] PRI_INPUT (2109,1539)
135GAT[32] PRI_INPUT (570,1800)
138GAT[33] PRI_INPUT (1520,0)
143GAT[34] PRI_INPUT (570,0)
146GAT[35] PRI_INPUT (2109,81)
149GAT[36] PRI_INPUT (2109,567)
152GAT[37] PRI_INPUT (475,0)
153GAT[38] PRI_INPUT (1900,0)
156GAT[39] PRI_INPUT (0,0)
159GAT[40] PRI_INPUT (380,0)
165GAT[41] PRI_INPUT (1045,1800)
171GAT[42] PRI_INPUT (665,0)
177GAT[43] PRI_INPUT (2109,972)
183GAT[44] PRI_INPUT (0,1800)
189GAT[45] PRI_INPUT (1235,1800)
195GAT[46] PRI_INPUT (1710,0)
201GAT[47] PRI_INPUT (2109,1215)
207GAT[48] PRI_INPUT (2109,648)
210GAT[49] PRI_INPUT (2109,1134)
219GAT[50] PRI_INPUT (2109,486)
228GAT[51] PRI_INPUT (1995,0)
237GAT[52] PRI_INPUT (665,1800)
246GAT[53] PRI_INPUT (95,0)
255GAT[54] PRI_INPUT (950,0)
259GAT[55] PRI_INPUT (1045,0)
260GAT[56] PRI_INPUT (2109,1458)
261GAT[57] PRI_INPUT (2109,1620)
267GAT[58] PRI_INPUT (2109,810)
268GAT[59] PRI_INPUT (1805,0)
n87 nota0 (533,700)~0ns  Buffer_42GAT[7]_4_n87{338}~9.76413e-10ns 
n88 na2a0 (637,700)~1.50553e-09ns  Buffer_75GAT[15]_3_n88{353}~1.00169e-09ns  Buffer_29GAT[5]_4_n88{362}~1.01681e-09ns 
388GAT[133] no2a0 (442,700)~1.50553e-09ns  n88{195}~7.31425e-10ns  n87{91}~5.51122e-10ns 
n90 nota0 (325,700)~0ns  Buffer_80GAT[16]_4_n90{356}~1.00673e-09ns 
n91 nota0 (726,600)~0ns  Buffer_29GAT[5]_3_n91{396}~1.07364e-09ns 
n92 nota0 (1536,1200)~0ns  Buffer_36GAT[6]_0_n92{375}~1.03859e-09ns 
n93 no2a0 (635,600)~1.50553e-09ns  Buffer_n92_2_n93{375}~1.03859e-09ns  n91{91}~5.51122e-10ns 
n94 nota0 (440,600)~0ns  n93{195}~7.31425e-10ns 
389GAT[132] no2a0 (258,600)~1.50553e-09ns  n94{182}~7.08887e-10ns  n90{167}~6.82858e-10ns 
390GAT[131] no2a0 (349,600)~1.50553e-09ns  n94{91}~5.51122e-10ns  n87{284}~8.84693e-10ns 
n97 nota0 (1209,0)~0ns  85GAT[17]{216}~4.78144e-10ns 
n98 nota0 (177,0)~0ns  86GAT[18]{13}~2.60389e-10ns 
391GAT[124] no2a0 (4,0)~1.50553e-09ns  n98{173}~6.93272e-10ns  Buffer_n97_2_391GAT[124]{301}~9.13687e-10ns 
n100 nota0 (1457,600)~0ns  Buffer_1GAT[0]_3_n100{350}~9.9664e-10ns 
n101 nota0 (1496,200)~0ns  8GAT[1]{319}~5.8806e-10ns 
n102 no2a0 (1424,500)~1.50553e-09ns  n101{372}~1.03357e-09ns  n100{133}~6.23838e-10ns 
n103 nota0 (1456,700)~0ns  n102{232}~7.95402e-10ns 
n104 na2a0 (921,600)~1.50553e-09ns  Buffer_17GAT[3]_2_n104{369}~1.02855e-09ns  Buffer_13GAT[2]_0_n104{333}~9.67968e-10ns 
418GAT[168] no2a0 (1469,700)~1.50553e-09ns  Buffer_n104_0_418GAT[168]{324}~9.52742e-10ns  n103{13}~4.18116e-10ns 
n106 nota0 (109,500)~0ns  390GAT[131]{340}~9.79788e-10ns 
n107 na2a0 (1134,100)~1.50553e-09ns  26GAT[4]{201}~4.6198e-10ns  Buffer_1GAT[0]_5_n107{368}~1.02687e-09ns 
n108 no2a0 (969,500)~1.50553e-09ns  Buffer_n107_0_n108{282}~8.81275e-10ns  n104{148}~6.49873e-10ns 
419GAT[164] na2a0 (18,500)~1.50553e-09ns  Buffer_n108_1_419GAT[164]{317}~9.40877e-10ns  n106{91}~5.51122e-10ns 
n110 na2a0 (546,700)~1.50553e-09ns  Buffer_75GAT[15]_3_n110{371}~1.0319e-09ns  Buffer_59GAT[10]_1_n110{390}~1.06364e-09ns 
n111 nota0 (285,800)~0ns  n110{361}~1.01513e-09ns 
420GAT[158] na2a0 (57,800)~1.50553e-09ns  n111{228}~7.88501e-10ns  Buffer_80GAT[16]_4_420GAT[158]{384}~1.05363e-09ns 
n113 nota0 (623,900)~0ns  Buffer_59GAT[10]_1_n113{349}~9.94957e-10ns 
n114 no2a0 (584,800)~1.50553e-09ns  n113{139}~6.3425e-10ns  Buffer_n92_2_n114{338}~9.76413e-10ns 
421GAT[162] na2a0 (52,700)~1.50553e-09ns  Buffer_n114_0_421GAT[162]{316}~9.39181e-10ns  Buffer_80GAT[16]_5_421GAT[162]{344}~9.86534e-10ns 
422GAT[161] na2a0 (17,900)~1.50553e-09ns  Buffer_n114_0_422GAT[161]{333}~9.67968e-10ns  Buffer_42GAT[7]_5_422GAT[161]{392}~1.06698e-09ns 
n117 nota0 (2086,600)~0ns  90GAT[22]{152}~4.09045e-10ns 
n118 no2a0 (2018,100)~1.50553e-09ns  Buffer_88GAT[20]_2_n118{339}~9.78101e-10ns  87GAT[19]{315}~5.83835e-10ns 
423GAT[155] no2a0 (1927,100)~1.50553e-09ns  n118{91}~5.51122e-10ns  Buffer_n117_0_423GAT[155]{329}~9.61205e-10ns 
446GAT[183] na2a0 (76,600)~1.50553e-09ns  Buffer_n108_1_446GAT[183]{331}~9.64587e-10ns  390GAT[131]{273}~8.65878e-10ns 
n121 nota0 (887,400)~0ns  Buffer_51GAT[8]_4_n121{365}~1.02184e-09ns 
447GAT[182] no2a0 (991,400)~1.50553e-09ns  Buffer_n107_0_447GAT[182]{221}~7.76414e-10ns  n121{104}~5.73585e-10ns 
n123 na3a0 (819,700)~2.42708e-09ns  Buffer_n102_1_n123{268}~8.57311e-10ns  Buffer_55GAT[9]_1_n123{378}~1.04361e-09ns  Buffer_13GAT[2]_0_n123{368}~1.02687e-09ns 
n124 na2a0 (728,700)~1.50553e-09ns  Buffer_68GAT[11]_3_n124{383}~1.05196e-09ns  Buffer_29GAT[5]_4_n124{346}~9.89904e-10ns 
448GAT[179] no2a0 (689,800)~1.50553e-09ns  n124{139}~6.3425e-10ns  n123{230}~7.91952e-10ns 
n126 nota0 (1574,700)~0ns  Buffer_74GAT[14]_1_n126{314}~9.35786e-10ns 
n127 na2a0 (988,700)~1.50553e-09ns  Buffer_68GAT[11]_3_n127{331}~9.64587e-10ns  Buffer_59GAT[10]_3_n127{322}~9.49354e-10ns 
n128 no2a0 (975,800)~1.50553e-09ns  n127{113}~5.89164e-10ns  n123{256}~8.36719e-10ns 
n129 nota0 (1482,1000)~0ns  Buffer_n128_0_n129{353}~1.00169e-09ns 
449GAT[176] no2a0 (1535,1000)~1.50553e-09ns  n129{53}~4.8585e-10ns  n126{339}~9.78101e-10ns 
n131 nota0 (1475,1700)~0ns  89GAT[21]{245}~5.09301e-10ns 
450GAT[173] no2a0 (1665,1700)~1.50553e-09ns  Buffer_n118_3_450GAT[173]{390}~1.06364e-09ns  n131{190}~7.22759e-10ns 
n133 nota0 (1057,1700)~0ns  91GAT[23]{183}~4.42552e-10ns 
n134 nota0 (953,1700)~0ns  Buffer_96GAT[24]_0_n134{336}~9.73036e-10ns 
n135 no2a0 (966,1700)~1.50553e-09ns  n134{13}~4.18116e-10ns  n133{91}~5.51122e-10ns 
n136 no2a0 (1070,1700)~1.50553e-09ns  Buffer_96GAT[24]_0_n136{395}~1.07197e-09ns  91GAT[23]{170}~4.28505e-10ns 
n137 no2a0 (1083,1600)~1.50553e-09ns  n136{113}~5.89164e-10ns  n135{217}~7.69501e-10ns 
n138 nota0 (1301,1600)~0ns  n137{218}~7.7123e-10ns 
n139 nota0 (1405,1200)~0ns  Buffer_121GAT[29]_1_n139{266}~8.53882e-10ns 
n140 no2a0 (1314,1300)~1.50553e-09ns  Buffer_126GAT[30]_1_n140{351}~9.98323e-10ns  n139{191}~7.24492e-10ns 
n141 nota0 (1301,1200)~0ns  Buffer_126GAT[30]_1_n141{380}~1.04695e-09ns 
n142 no2a0 (1314,1200)~1.50553e-09ns  n141{13}~4.18116e-10ns  Buffer_121GAT[29]_1_n142{297}~9.06875e-10ns 
n143 no2a0 (1314,1400)~1.50553e-09ns  n142{200}~7.40086e-10ns  n140{100}~5.66668e-10ns 
n144 no2a0 (1314,1600)~1.50553e-09ns  n143{200}~7.40086e-10ns  n138{13}~4.18116e-10ns 
n145 na2a0 (1314,1500)~1.50553e-09ns  n143{100}~5.66668e-10ns  n138{113}~5.89164e-10ns 
n146 nota0 (1406,1500)~0ns  n145{92}~5.52848e-10ns 
n147 no2a0 (1405,1600)~1.50553e-09ns  n146{101}~5.68397e-10ns  n144{91}~5.51122e-10ns 
n148 nota0 (1587,1600)~0ns  n147{182}~7.08887e-10ns 
n149 nota0 (706,1700)~0ns  135GAT[32]{236}~4.99647e-10ns 
n150 nota0 (1353,600)~0ns  Buffer_111GAT[27]_1_n150{271}~8.62452e-10ns 
n151 nota0 (1561,600)~0ns  Buffer_116GAT[28]_5_n151{353}~1.00169e-09ns 
n152 no2a0 (1470,600)~1.50553e-09ns  n151{91}~5.51122e-10ns  n150{117}~5.96093e-10ns 
n153 no2a0 (1262,600)~1.50553e-09ns  Buffer_116GAT[28]_4_n153{362}~1.01681e-09ns  Buffer_111GAT[27]_0_n153{361}~1.01513e-09ns 
n154 no2a0 (1366,600)~1.50553e-09ns  n153{104}~5.73585e-10ns  n152{104}~5.73585e-10ns 
n155 no2a0 (1458,800)~1.50553e-09ns  n154{292}~8.98351e-10ns  Buffer_n149_3_n155{330}~9.62896e-10ns 
n156 na2a0 (1367,800)~1.50553e-09ns  n154{201}~7.41818e-10ns  Buffer_n149_2_n156{390}~1.06364e-09ns 
n157 nota0 (1433,900)~0ns  n156{166}~6.81122e-10ns 
n158 no2a0 (1456,900)~1.50553e-09ns  n157{23}~4.34929e-10ns  n155{102}~5.70126e-10ns 
n159 nota0 (1495,1000)~0ns  n158{139}~6.3425e-10ns 
n160 nota0 (1609,1200)~0ns  Buffer_130GAT[31]_1_n160{279}~8.76146e-10ns 
n161 nota0 (213,500)~0ns  Buffer_101GAT[25]_2_n161{330}~9.62896e-10ns 
n162 no2a0 (317,500)~1.50553e-09ns  Buffer_106GAT[26]_0_n162{266}~8.53882e-10ns  n161{104}~5.73585e-10ns 
n163 nota0 (302,400)~0ns  Buffer_106GAT[26]_0_n163{208}~7.53936e-10ns 
n164 no2a0 (226,500)~1.50553e-09ns  n163{176}~6.98478e-10ns  Buffer_101GAT[25]_2_n164{334}~9.69658e-10ns 
n165 no2a0 (408,500)~1.50553e-09ns  n164{182}~7.08887e-10ns  n162{91}~5.51122e-10ns 
n166 no2a0 (1233,900)~1.50553e-09ns  Buffer_n165_2_n166{306}~9.22194e-10ns  Buffer_n160_0_n166{338}~9.76413e-10ns 
n167 na2a0 (1129,900)~1.50553e-09ns  Buffer_n165_1_n167{373}~1.03525e-09ns  Buffer_n160_0_n167{390}~1.06364e-09ns 
n168 nota0 (1220,900)~0ns  n167{91}~5.51122e-10ns 
n169 no2a0 (1324,900)~1.50553e-09ns  n168{104}~5.73585e-10ns  n166{91}~5.51122e-10ns 
n170 no2a0 (1457,1100)~1.50553e-09ns  n169{333}~9.67968e-10ns  n159{138}~6.32515e-10ns 
n171 na2a0 (1445,1200)~1.50553e-09ns  Buffer_n169_0_n171{210}~7.57396e-10ns  n159{250}~8.26405e-10ns 
n172 nota0 (1483,1300)~0ns  n171{138}~6.32515e-10ns 
n173 no2a0 (1496,1300)~1.50553e-09ns  n172{13}~4.18116e-10ns  n170{239}~8.0747e-10ns 
n174 nota0 (1539,1500)~0ns  n173{243}~8.1436e-10ns 
n175 no2a0 (1600,1600)~1.50553e-09ns  n174{161}~6.72443e-10ns  n148{13}~4.18116e-10ns 
n176 no2a0 (1496,1600)~1.50553e-09ns  n173{300}~9.11985e-10ns  n147{91}~5.51122e-10ns 
767GAT[349] no2a0 (1691,1600)~1.50553e-09ns  n176{195}~7.31425e-10ns  n175{91}~5.51122e-10ns 
n178 nota0 (727,900)~0ns  Buffer_159GAT[40]_2_n178{311}~9.30692e-10ns 
n179 nota0 (883,1300)~0ns  Buffer_165GAT[41]_0_n179{331}~9.64587e-10ns 
n180 no2a0 (896,1300)~1.50553e-09ns  n179{13}~4.18116e-10ns  Buffer_n178_0_n180{284}~8.84693e-10ns 
n181 no2a0 (805,1400)~1.50553e-09ns  Buffer_165GAT[41]_0_n181{320}~9.45964e-10ns  Buffer_159GAT[40]_3_n181{365}~1.02184e-09ns 
n182 no2a0 (896,1400)~1.50553e-09ns  n181{91}~5.51122e-10ns  n180{100}~5.66668e-10ns 
n183 nota0 (916,1700)~0ns  n182{320}~9.45964e-10ns 
n184 nota0 (1736,700)~0ns  Buffer_195GAT[46]_0_n184{363}~1.01849e-09ns 
n185 no2a0 (1755,800)~1.50553e-09ns  Buffer_201GAT[47]_0_n185{384}~1.05363e-09ns  n184{119}~5.99559e-10ns 
n186 nota0 (1944,800)~0ns  Buffer_201GAT[47]_0_n186{290}~8.94938e-10ns 
n187 no2a0 (1749,700)~1.50553e-09ns  n186{295}~9.03466e-10ns  Buffer_195GAT[46]_0_n187{369}~1.02855e-09ns 
n188 no2a0 (1749,1000)~1.50553e-09ns  n187{300}~9.11985e-10ns  n185{206}~7.50475e-10ns 
n189 no2a0 (719,1700)~1.50553e-09ns  Buffer_n188_3_n189{346}~9.89904e-10ns  n183{197}~7.3489e-10ns 
n190 na2a0 (823,1700)~1.50553e-09ns  Buffer_n188_3_n190{325}~9.54435e-10ns  n183{93}~5.54574e-10ns 
n191 nota0 (810,1700)~0ns  n190{13}~4.18116e-10ns 
n192 no2a0 (719,1600)~1.50553e-09ns  n191{191}~7.24492e-10ns  n189{100}~5.66668e-10ns 
n193 nota0 (434,1600)~0ns  n192{285}~8.86402e-10ns 
n194 nota0 (1632,700)~0ns  Buffer_207GAT[48]_0_n194{264}~8.50452e-10ns 
n195 nota0 (675,800)~0ns  Buffer_183GAT[44]_3_n195{335}~9.71347e-10ns 
n196 nota0 (1212,400)~0ns  Buffer_189GAT[45]_2_n196{355}~1.00505e-09ns 
n197 no2a0 (1171,600)~1.50553e-09ns  n196{241}~8.10915e-10ns  Buffer_n195_0_n197{348}~9.93273e-10ns 
n198 no2a0 (1170,800)~1.50553e-09ns  Buffer_189GAT[45]_1_n198{355}~1.00505e-09ns  Buffer_183GAT[44]_4_n198{361}~1.01513e-09ns 
n199 no2a0 (1170,700)~1.50553e-09ns  n198{100}~5.66668e-10ns  n197{101}~5.68397e-10ns 
n200 no2a0 (1079,700)~1.50553e-09ns  n199{91}~5.51122e-10ns  Buffer_n194_0_n200{276}~8.71013e-10ns 
n201 na2a0 (1261,700)~1.50553e-09ns  n199{91}~5.51122e-10ns  n194{371}~1.0319e-09ns 
n202 nota0 (1261,800)~0ns  n201{100}~5.66668e-10ns 
n203 no2a0 (1079,800)~1.50553e-09ns  n202{182}~7.08887e-10ns  n200{100}~5.66668e-10ns 
n204 nota0 (1118,1100)~0ns  n203{339}~9.78101e-10ns 
n205 nota0 (480,800)~0ns  Buffer_171GAT[42]_1_n205{328}~9.59513e-10ns 
n206 no2a0 (298,800)~1.50553e-09ns  Buffer_177GAT[43]_3_n206{396}~1.07364e-09ns  n205{182}~7.08887e-10ns 
n207 nota0 (338,700)~0ns  Buffer_177GAT[43]_4_n207{340}~9.79788e-10ns 
n208 no2a0 (351,700)~1.50553e-09ns  n207{13}~4.18116e-10ns  Buffer_171GAT[42]_1_n208{338}~9.76413e-10ns 
n209 no2a0 (389,800)~1.50553e-09ns  n208{138}~6.32515e-10ns  n206{91}~5.51122e-10ns 
n210 no2a0 (1157,1000)~1.50553e-09ns  Buffer_n209_1_n210{322}~9.49354e-10ns  Buffer_n160_0_n210{326}~9.56128e-10ns 
n211 na2a0 (1066,1000)~1.50553e-09ns  Buffer_n209_1_n211{292}~8.98351e-10ns  Buffer_n160_0_n211{371}~1.0319e-09ns 
n212 nota0 (1131,1100)~0ns  n211{165}~6.79387e-10ns 
n213 no2a0 (1144,1100)~1.50553e-09ns  n212{13}~4.18116e-10ns  n210{113}~5.89164e-10ns 
n214 no2a0 (1174,1300)~1.50553e-09ns  n213{230}~7.91952e-10ns  n204{256}~8.36719e-10ns 
n215 na2a0 (1083,1300)~1.50553e-09ns  n213{261}~8.45305e-10ns  n204{235}~8.00576e-10ns 
n216 nota0 (1122,1400)~0ns  n215{139}~6.3425e-10ns 
n217 no2a0 (1122,1500)~1.50553e-09ns  n216{100}~5.66668e-10ns  n214{252}~8.29844e-10ns 
n218 nota0 (447,1600)~0ns  Buffer_n217_0_n218{387}~1.05864e-09ns 
n219 no2a0 (343,1600)~1.50553e-09ns  n218{104}~5.73585e-10ns  n193{91}~5.51122e-10ns 
n220 no2a0 (460,1600)~1.50553e-09ns  Buffer_n217_0_n220{381}~1.04862e-09ns  n192{259}~8.41871e-10ns 
768GAT[334] no2a0 (252,1600)~1.50553e-09ns  n220{208}~7.53936e-10ns  n219{91}~5.51122e-10ns 
n222 nota0 (770,400)~0ns  447GAT[182]{221}~7.76414e-10ns 
n223 nota0 (557,0)~0ns  Buffer_156GAT[39]_0_n223{278}~8.74435e-10ns 
n224 no2a0 (588,400)~1.50553e-09ns  Buffer_n223_0_n224{215}~7.66044e-10ns  Buffer_n113_0_n224{267}~8.55597e-10ns 
n225 no2a0 (783,400)~1.50553e-09ns  n224{195}~7.31425e-10ns  n222{13}~4.18116e-10ns 
n226 na2a0 (1043,100)~1.50553e-09ns  Buffer_n225_0_n226{280}~8.77856e-10ns  Buffer_17GAT[3]_3_n226{371}~1.0319e-09ns 
n227 na2a0 (1225,100)~1.50553e-09ns  n226{182}~7.08887e-10ns  Buffer_1GAT[0]_5_n227{355}~1.00505e-09ns 
n228 na2a0 (1809,0)~1.50553e-09ns  Buffer_n227_0_n228{342}~9.83162e-10ns  153GAT[38]{91}~3.43221e-10ns 
n229 no2a0 (544,600)~1.50553e-09ns  n110{102}~5.70126e-10ns  n87{111}~5.857e-10ns 
n230 nota0 (874,400)~0ns  Buffer_17GAT[3]_3_n230{345}~9.88219e-10ns 
n231 no2a0 (900,400)~1.50553e-09ns  n121{13}~4.18116e-10ns  n230{26}~4.3999e-10ns 
n232 na2a0 (878,500)~1.50553e-09ns  n231{122}~6.04759e-10ns  Buffer_n102_0_n232{273}~8.65878e-10ns 
n233 no2a0 (830,600)~1.50553e-09ns  n232{148}~6.49873e-10ns  n229{286}~8.8811e-10ns 
n234 no2a0 (679,400)~1.50553e-09ns  Buffer_42GAT[7]_2_n234{396}~1.07364e-09ns  n230{195}~7.31425e-10ns 
n235 no2a0 (514,500)~1.50553e-09ns  n87{219}~7.72958e-10ns  Buffer_17GAT[3]_3_n235{397}~1.0753e-09ns 
n236 no2a0 (605,500)~1.50553e-09ns  n235{91}~5.51122e-10ns  n234{174}~6.95007e-10ns 
n237 na2a0 (787,500)~1.50553e-09ns  n224{299}~9.10282e-10ns  447GAT[182]{304}~9.18793e-10ns 
n238 no2a0 (696,500)~1.50553e-09ns  n237{91}~5.51122e-10ns  n236{91}~5.51122e-10ns 
